Livro,Autor,Ano,Área,Caminho_SSD
#Administração_Geral_e_Pública_Coleção_Concurso_Público_Elisabete,Wagner,2015,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\#Administração_Geral_e_Pública_Coleção_Concurso_Público_Elisabete.md
#Direito Administrativo (2017)- Ricardo Alexandre e João De Deus,Icecream PDF Converter,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\#Direito Administrativo (2017)- Ricardo Alexandre e João De Deus.md
#Prática_Profissional_de_Direito_Administrativo_2017_José_Aras2,Thiago Tadeu,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\#Prática_Profissional_de_Direito_Administrativo_2017_José_Aras2.md
(2022.1) Legislação Administrativa,Gerson Cavalcante,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\(2022.1) Legislação Administrativa.md
00. MANUAL DE DIREITO ADMINISTRATIVO,JOSÉ DOS SANTOS CARVALHO FILHO,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\00. MANUAL DE DIREITO ADMINISTRATIVO.md
03. Contratos Administrativos,DIOGO SURDI,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\03. Contratos Administrativos.md
144_Matheus_Carvalho_Manual_de_Direito_Administrativo_2017_Pdf,PROVAS,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\144_Matheus_Carvalho_Manual_de_Direito_Administrativo_2017_Pdf.md
1_direito_administrativo,ADMINISTRATIVO,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\1_direito_administrativo.md
2017 - ADMINISTRAÇÃO GERAL E PÚBLICA - GIOVANNA CARRANZA,ADMINISTRAÇÃO GERAL,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\2017 - ADMINISTRAÇÃO GERAL E PÚBLICA - GIOVANNA CARRANZA.md
2019_Direito_Administrativo_Maria_Sylvia_Zanella_Di_Pietro_1,Maria Sylvia Zanella,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\2019_Direito_Administrativo_Maria_Sylvia_Zanella_Di_Pietro_1.md
2021-DIREITO ADMINISTRATIVO - ALEXANDRE MAZZA,Alexandre Mazza,2021,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\2021-DIREITO ADMINISTRATIVO - ALEXANDRE MAZZA.md
2022 Direito Administrativo Maria Sylvia Zanella D 230329 171605,CATALOGAÇÃO NA FONTE,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\2022 Direito Administrativo Maria Sylvia Zanella D 230329 171605.md
